"id","balance","account","description","status","date"
499,508.5,"PEOPLE","Descripción 499","PENDING",
500,509.5,"INTERNAL","Descripción 500","PROCESSED",
501,510.5,"PEOPLE","Descripción 501","PENDING",
502,511.5,"OPERATION","Descripción 502","PROCESSED",
503,512.5,"INTERNAL","Descripción 503","PENDING",
504,513.5,"PEOPLE","Descripción 504","PROCESSED",
505,514.5,"OPERATION","Descripción 505","PENDING",
506,515.5,"INTERNAL","Descripción 506","PROCESSED",
507,516.5,"PEOPLE","Descripción 507","PENDING",
508,517.5,"INTERNAL","Descripción 508","PROCESSED",
509,518.5,"PEOPLE","Descripción 509","PENDING",
510,519.5,"OPERATION","Descripción 510","PROCESSED",
511,520.5,"INTERNAL","Descripción 511","PENDING",
512,521.5,"PEOPLE","Descripción 512","PROCESSED",
513,522.5,"OPERATION","Descripción 513","PENDING",
514,523.5,"INTERNAL","Descripción 514","PROCESSED",
515,524.5,"PEOPLE","Descripción 515","PENDING",
516,525.5,"INTERNAL","Descripción 516","PROCESSED",
517,526.5,"PEOPLE","Descripción 517","PENDING",
518,527.5,"OPERATION","Descripción 518","PROCESSED",
519,528.5,"INTERNAL","Descripción 519","PENDING",
520,529.5,"PEOPLE","Descripción 520","PROCESSED",
521,530.5,"OPERATION","Descripción 521","PENDING",
522,531.5,"INTERNAL","Descripción 522","PROCESSED",
523,532.5,"PEOPLE","Descripción 523","PENDING",
524,533.5,"INTERNAL","Descripción 524","PROCESSED",
525,534.5,"PEOPLE","Descripción 525","PENDING",
526,535.5,"OPERATION","Descripción 526","PROCESSED",
527,536.5,"INTERNAL","Descripción 527","PENDING",
528,537.5,"PEOPLE","Descripción 528","PROCESSED",
529,538.5,"OPERATION","Descripción 529","PENDING",
530,539.5,"INTERNAL","Descripción 530","PROCESSED",
531,540.5,"PEOPLE","Descripción 531","PENDING",
532,541.5,"INTERNAL","Descripción 532","PROCESSED",
533,542.5,"PEOPLE","Descripción 533","PENDING",
534,543.5,"OPERATION","Descripción 534","PROCESSED",
535,544.5,"INTERNAL","Descripción 535","PENDING",
536,545.5,"PEOPLE","Descripción 536","PROCESSED",
537,546.5,"OPERATION","Descripción 537","PENDING",
538,547.5,"INTERNAL","Descripción 538","PROCESSED",
539,548.5,"PEOPLE","Descripción 539","PENDING",
540,549.5,"INTERNAL","Descripción 540","PROCESSED",
541,550.5,"PEOPLE","Descripción 541","PENDING",
542,551.5,"OPERATION","Descripción 542","PROCESSED",
543,552.5,"INTERNAL","Descripción 543","PENDING",
544,553.5,"PEOPLE","Descripción 544","PROCESSED",
545,554.5,"OPERATION","Descripción 545","PENDING",
546,555.5,"INTERNAL","Descripción 546","PROCESSED",
547,556.5,"PEOPLE","Descripción 547","PENDING",
548,557.5,"INTERNAL","Descripción 548","PROCESSED",
549,558.5,"PEOPLE","Descripción 549","PENDING",
550,559.5,"OPERATION","Descripción 550","PROCESSED",
551,560.5,"INTERNAL","Descripción 551","PENDING",
552,561.5,"PEOPLE","Descripción 552","PROCESSED",
553,562.5,"OPERATION","Descripción 553","PENDING",
554,563.5,"INTERNAL","Descripción 554","PROCESSED",
555,564.5,"PEOPLE","Descripción 555","PENDING",
556,565.5,"INTERNAL","Descripción 556","PROCESSED",
557,566.5,"PEOPLE","Descripción 557","PENDING",
558,567.5,"OPERATION","Descripción 558","PROCESSED",
559,568.5,"INTERNAL","Descripción 559","PENDING",
560,569.5,"PEOPLE","Descripción 560","PROCESSED",
561,570.5,"OPERATION","Descripción 561","PENDING",
562,571.5,"INTERNAL","Descripción 562","PROCESSED",
563,572.5,"PEOPLE","Descripción 563","PENDING",
564,573.5,"INTERNAL","Descripción 564","PROCESSED",
565,574.5,"PEOPLE","Descripción 565","PENDING",
566,575.5,"OPERATION","Descripción 566","PROCESSED",
567,576.5,"INTERNAL","Descripción 567","PENDING",
568,577.5,"PEOPLE","Descripción 568","PROCESSED",
569,578.5,"OPERATION","Descripción 569","PENDING",
570,579.5,"INTERNAL","Descripción 570","PROCESSED",
571,580.5,"PEOPLE","Descripción 571","PENDING",
572,581.5,"INTERNAL","Descripción 572","PROCESSED",
573,582.5,"PEOPLE","Descripción 573","PENDING",
574,583.5,"OPERATION","Descripción 574","PROCESSED",
575,584.5,"INTERNAL","Descripción 575","PENDING",
576,585.5,"PEOPLE","Descripción 576","PROCESSED",
577,586.5,"OPERATION","Descripción 577","PENDING",
578,587.5,"INTERNAL","Descripción 578","PROCESSED",
579,588.5,"PEOPLE","Descripción 579","PENDING",
580,589.5,"INTERNAL","Descripción 580","PROCESSED",
581,590.5,"PEOPLE","Descripción 581","PENDING",
582,591.5,"OPERATION","Descripción 582","PROCESSED",
583,592.5,"INTERNAL","Descripción 583","PENDING",
584,593.5,"PEOPLE","Descripción 584","PROCESSED",
585,594.5,"OPERATION","Descripción 585","PENDING",
586,595.5,"INTERNAL","Descripción 586","PROCESSED",
587,596.5,"PEOPLE","Descripción 587","PENDING",
588,597.5,"INTERNAL","Descripción 588","PROCESSED",
589,598.5,"PEOPLE","Descripción 589","PENDING",
590,599.5,"OPERATION","Descripción 590","PROCESSED",
591,600.5,"INTERNAL","Descripción 591","PENDING",
592,601.5,"PEOPLE","Descripción 592","PROCESSED",
593,602.5,"OPERATION","Descripción 593","PENDING",
594,603.5,"INTERNAL","Descripción 594","PROCESSED",
595,604.5,"PEOPLE","Descripción 595","PENDING",
596,605.5,"INTERNAL","Descripción 596","PROCESSED",
597,606.5,"PEOPLE","Descripción 597","PENDING",
598,607.5,"OPERATION","Descripción 598","PROCESSED",
599,608.5,"INTERNAL","Descripción 599","PENDING",
600,609.5,"PEOPLE","Descripción 600","PROCESSED",
601,610.5,"OPERATION","Descripción 601","PENDING",
602,611.5,"INTERNAL","Descripción 602","PROCESSED",
603,612.5,"PEOPLE","Descripción 603","PENDING",
604,613.5,"INTERNAL","Descripción 604","PROCESSED",
605,614.5,"PEOPLE","Descripción 605","PENDING",
606,615.5,"OPERATION","Descripción 606","PROCESSED",
607,616.5,"INTERNAL","Descripción 607","PENDING",
608,617.5,"PEOPLE","Descripción 608","PROCESSED",
609,618.5,"OPERATION","Descripción 609","PENDING",
610,619.5,"INTERNAL","Descripción 610","PROCESSED",
611,620.5,"PEOPLE","Descripción 611","PENDING",
612,621.5,"INTERNAL","Descripción 612","PROCESSED",
613,622.5,"PEOPLE","Descripción 613","PENDING",
614,623.5,"OPERATION","Descripción 614","PROCESSED",
615,624.5,"INTERNAL","Descripción 615","PENDING",
616,625.5,"PEOPLE","Descripción 616","PROCESSED",
617,626.5,"OPERATION","Descripción 617","PENDING",
618,627.5,"INTERNAL","Descripción 618","PROCESSED",
619,628.5,"PEOPLE","Descripción 619","PENDING",
620,629.5,"INTERNAL","Descripción 620","PROCESSED",
621,630.5,"PEOPLE","Descripción 621","PENDING",
622,631.5,"OPERATION","Descripción 622","PROCESSED",
623,632.5,"INTERNAL","Descripción 623","PENDING",
624,633.5,"PEOPLE","Descripción 624","PROCESSED",
625,634.5,"OPERATION","Descripción 625","PENDING",
626,635.5,"INTERNAL","Descripción 626","PROCESSED",
627,636.5,"PEOPLE","Descripción 627","PENDING",
628,637.5,"INTERNAL","Descripción 628","PROCESSED",
629,638.5,"PEOPLE","Descripción 629","PENDING",
630,639.5,"OPERATION","Descripción 630","PROCESSED",
631,640.5,"INTERNAL","Descripción 631","PENDING",
632,641.5,"PEOPLE","Descripción 632","PROCESSED",
633,642.5,"OPERATION","Descripción 633","PENDING",
634,643.5,"INTERNAL","Descripción 634","PROCESSED",
635,644.5,"PEOPLE","Descripción 635","PENDING",
636,645.5,"INTERNAL","Descripción 636","PROCESSED",
637,646.5,"PEOPLE","Descripción 637","PENDING",
638,647.5,"OPERATION","Descripción 638","PROCESSED",
639,648.5,"INTERNAL","Descripción 639","PENDING",
640,649.5,"PEOPLE","Descripción 640","PROCESSED",
641,650.5,"OPERATION","Descripción 641","PENDING",
642,651.5,"INTERNAL","Descripción 642","PROCESSED",
643,652.5,"PEOPLE","Descripción 643","PENDING",
644,653.5,"INTERNAL","Descripción 644","PROCESSED",
645,654.5,"PEOPLE","Descripción 645","PENDING",
646,655.5,"OPERATION","Descripción 646","PROCESSED",
647,656.5,"INTERNAL","Descripción 647","PENDING",
648,657.5,"PEOPLE","Descripción 648","PROCESSED",
649,658.5,"OPERATION","Descripción 649","PENDING",
650,659.5,"INTERNAL","Descripción 650","PROCESSED",
651,660.5,"PEOPLE","Descripción 651","PENDING",
652,661.5,"INTERNAL","Descripción 652","PROCESSED",
653,662.5,"PEOPLE","Descripción 653","PENDING",
654,663.5,"OPERATION","Descripción 654","PROCESSED",
655,664.5,"INTERNAL","Descripción 655","PENDING",
656,665.5,"PEOPLE","Descripción 656","PROCESSED",
657,666.5,"OPERATION","Descripción 657","PENDING",
658,667.5,"INTERNAL","Descripción 658","PROCESSED",
659,668.5,"PEOPLE","Descripción 659","PENDING",
660,669.5,"INTERNAL","Descripción 660","PROCESSED",
661,670.5,"PEOPLE","Descripción 661","PENDING",
662,671.5,"OPERATION","Descripción 662","PROCESSED",
663,672.5,"INTERNAL","Descripción 663","PENDING",
664,673.5,"PEOPLE","Descripción 664","PROCESSED",
665,674.5,"OPERATION","Descripción 665","PENDING",
666,675.5,"INTERNAL","Descripción 666","PROCESSED",
667,676.5,"PEOPLE","Descripción 667","PENDING",
668,677.5,"INTERNAL","Descripción 668","PROCESSED",
669,678.5,"PEOPLE","Descripción 669","PENDING",
670,679.5,"OPERATION","Descripción 670","PROCESSED",
671,680.5,"INTERNAL","Descripción 671","PENDING",
672,681.5,"PEOPLE","Descripción 672","PROCESSED",
673,682.5,"OPERATION","Descripción 673","PENDING",
674,683.5,"INTERNAL","Descripción 674","PROCESSED",
675,684.5,"PEOPLE","Descripción 675","PENDING",
676,685.5,"INTERNAL","Descripción 676","PROCESSED",
677,686.5,"PEOPLE","Descripción 677","PENDING",
678,687.5,"OPERATION","Descripción 678","PROCESSED",
679,688.5,"INTERNAL","Descripción 679","PENDING",
680,689.5,"PEOPLE","Descripción 680","PROCESSED",
681,690.5,"OPERATION","Descripción 681","PENDING",
682,691.5,"INTERNAL","Descripción 682","PROCESSED",
683,692.5,"PEOPLE","Descripción 683","PENDING",
684,693.5,"INTERNAL","Descripción 684","PROCESSED",
685,694.5,"PEOPLE","Descripción 685","PENDING",
686,695.5,"OPERATION","Descripción 686","PROCESSED",
687,696.5,"INTERNAL","Descripción 687","PENDING",
688,697.5,"PEOPLE","Descripción 688","PROCESSED",
689,698.5,"OPERATION","Descripción 689","PENDING",
690,699.5,"INTERNAL","Descripción 690","PROCESSED",
691,700.5,"PEOPLE","Descripción 691","PENDING",
692,701.5,"INTERNAL","Descripción 692","PROCESSED",
693,702.5,"PEOPLE","Descripción 693","PENDING",
694,703.5,"OPERATION","Descripción 694","PROCESSED",
695,704.5,"INTERNAL","Descripción 695","PENDING",
696,705.5,"PEOPLE","Descripción 696","PROCESSED",
697,706.5,"OPERATION","Descripción 697","PENDING",
698,707.5,"INTERNAL","Descripción 698","PROCESSED",
699,708.5,"PEOPLE","Descripción 699","PENDING",
700,709.5,"INTERNAL","Descripción 700","PROCESSED",
701,710.5,"PEOPLE","Descripción 701","PENDING",
702,711.5,"OPERATION","Descripción 702","PROCESSED",
703,712.5,"INTERNAL","Descripción 703","PENDING",
704,713.5,"PEOPLE","Descripción 704","PROCESSED",
705,714.5,"OPERATION","Descripción 705","PENDING",
706,715.5,"INTERNAL","Descripción 706","PROCESSED",
707,716.5,"PEOPLE","Descripción 707","PENDING",
708,717.5,"INTERNAL","Descripción 708","PROCESSED",
709,718.5,"PEOPLE","Descripción 709","PENDING",
710,719.5,"OPERATION","Descripción 710","PROCESSED",
711,720.5,"INTERNAL","Descripción 711","PENDING",
712,721.5,"PEOPLE","Descripción 712","PROCESSED",
713,722.5,"OPERATION","Descripción 713","PENDING",
714,723.5,"INTERNAL","Descripción 714","PROCESSED",
715,724.5,"PEOPLE","Descripción 715","PENDING",
716,725.5,"INTERNAL","Descripción 716","PROCESSED",
717,726.5,"PEOPLE","Descripción 717","PENDING",
718,727.5,"OPERATION","Descripción 718","PROCESSED",
719,728.5,"INTERNAL","Descripción 719","PENDING",
720,729.5,"PEOPLE","Descripción 720","PROCESSED",
721,730.5,"OPERATION","Descripción 721","PENDING",
722,731.5,"INTERNAL","Descripción 722","PROCESSED",
723,732.5,"PEOPLE","Descripción 723","PENDING",
724,733.5,"INTERNAL","Descripción 724","PROCESSED",
725,734.5,"PEOPLE","Descripción 725","PENDING",
726,735.5,"OPERATION","Descripción 726","PROCESSED",
727,736.5,"INTERNAL","Descripción 727","PENDING",
728,737.5,"PEOPLE","Descripción 728","PROCESSED",
729,738.5,"OPERATION","Descripción 729","PENDING",
730,739.5,"INTERNAL","Descripción 730","PROCESSED",
731,740.5,"PEOPLE","Descripción 731","PENDING",
732,741.5,"INTERNAL","Descripción 732","PROCESSED",
733,742.5,"PEOPLE","Descripción 733","PENDING",
734,743.5,"OPERATION","Descripción 734","PROCESSED",
735,744.5,"INTERNAL","Descripción 735","PENDING",
736,745.5,"PEOPLE","Descripción 736","PROCESSED",
737,746.5,"OPERATION","Descripción 737","PENDING",
738,747.5,"INTERNAL","Descripción 738","PROCESSED",
739,748.5,"PEOPLE","Descripción 739","PENDING",
740,749.5,"INTERNAL","Descripción 740","PROCESSED",
741,750.5,"PEOPLE","Descripción 741","PENDING",
742,751.5,"OPERATION","Descripción 742","PROCESSED",
743,752.5,"INTERNAL","Descripción 743","PENDING",
744,753.5,"PEOPLE","Descripción 744","PROCESSED",
745,754.5,"OPERATION","Descripción 745","PENDING",
746,755.5,"INTERNAL","Descripción 746","PROCESSED",
747,756.5,"PEOPLE","Descripción 747","PENDING",
748,757.5,"INTERNAL","Descripción 748","PROCESSED",
749,758.5,"PEOPLE","Descripción 749","PENDING",
750,759.5,"OPERATION","Descripción 750","PROCESSED",
751,760.5,"INTERNAL","Descripción 751","PENDING",
752,761.5,"PEOPLE","Descripción 752","PROCESSED",
753,762.5,"OPERATION","Descripción 753","PENDING",
754,763.5,"INTERNAL","Descripción 754","PROCESSED",
755,764.5,"PEOPLE","Descripción 755","PENDING",
756,765.5,"INTERNAL","Descripción 756","PROCESSED",
757,766.5,"PEOPLE","Descripción 757","PENDING",
758,767.5,"OPERATION","Descripción 758","PROCESSED",
759,768.5,"INTERNAL","Descripción 759","PENDING",
760,769.5,"PEOPLE","Descripción 760","PROCESSED",
761,770.5,"OPERATION","Descripción 761","PENDING",
762,771.5,"INTERNAL","Descripción 762","PROCESSED",
763,772.5,"PEOPLE","Descripción 763","PENDING",
764,773.5,"INTERNAL","Descripción 764","PROCESSED",
765,774.5,"PEOPLE","Descripción 765","PENDING",
766,775.5,"OPERATION","Descripción 766","PROCESSED",
767,776.5,"INTERNAL","Descripción 767","PENDING",
768,777.5,"PEOPLE","Descripción 768","PROCESSED",
769,778.5,"OPERATION","Descripción 769","PENDING",
770,779.5,"INTERNAL","Descripción 770","PROCESSED",
771,780.5,"PEOPLE","Descripción 771","PENDING",
772,781.5,"INTERNAL","Descripción 772","PROCESSED",
773,782.5,"PEOPLE","Descripción 773","PENDING",
774,783.5,"OPERATION","Descripción 774","PROCESSED",
775,784.5,"INTERNAL","Descripción 775","PENDING",
776,785.5,"PEOPLE","Descripción 776","PROCESSED",
777,786.5,"OPERATION","Descripción 777","PENDING",
778,787.5,"INTERNAL","Descripción 778","PROCESSED",
779,788.5,"PEOPLE","Descripción 779","PENDING",
780,789.5,"INTERNAL","Descripción 780","PROCESSED",
781,790.5,"PEOPLE","Descripción 781","PENDING",
782,791.5,"OPERATION","Descripción 782","PROCESSED",
783,792.5,"INTERNAL","Descripción 783","PENDING",
784,793.5,"PEOPLE","Descripción 784","PROCESSED",
785,794.5,"OPERATION","Descripción 785","PENDING",
786,795.5,"INTERNAL","Descripción 786","PROCESSED",
787,796.5,"PEOPLE","Descripción 787","PENDING",
788,797.5,"INTERNAL","Descripción 788","PROCESSED",
789,798.5,"PEOPLE","Descripción 789","PENDING",
790,799.5,"OPERATION","Descripción 790","PROCESSED",
791,800.5,"INTERNAL","Descripción 791","PENDING",
792,801.5,"PEOPLE","Descripción 792","PROCESSED",
793,802.5,"OPERATION","Descripción 793","PENDING",
794,803.5,"INTERNAL","Descripción 794","PROCESSED",
795,804.5,"PEOPLE","Descripción 795","PENDING",
796,805.5,"INTERNAL","Descripción 796","PROCESSED",
797,806.5,"PEOPLE","Descripción 797","PENDING",
798,807.5,"OPERATION","Descripción 798","PROCESSED",
799,808.5,"INTERNAL","Descripción 799","PENDING",
800,809.5,"PEOPLE","Descripción 800","PROCESSED",
801,810.5,"OPERATION","Descripción 801","PENDING",
802,811.5,"INTERNAL","Descripción 802","PROCESSED",
803,812.5,"PEOPLE","Descripción 803","PENDING",
804,813.5,"INTERNAL","Descripción 804","PROCESSED",
805,814.5,"PEOPLE","Descripción 805","PENDING",
806,815.5,"OPERATION","Descripción 806","PROCESSED",
807,816.5,"INTERNAL","Descripción 807","PENDING",
808,817.5,"PEOPLE","Descripción 808","PROCESSED",
809,818.5,"OPERATION","Descripción 809","PENDING",
810,819.5,"INTERNAL","Descripción 810","PROCESSED",
811,820.5,"PEOPLE","Descripción 811","PENDING",
812,821.5,"INTERNAL","Descripción 812","PROCESSED",
813,822.5,"PEOPLE","Descripción 813","PENDING",
814,823.5,"OPERATION","Descripción 814","PROCESSED",
815,824.5,"INTERNAL","Descripción 815","PENDING",
816,825.5,"PEOPLE","Descripción 816","PROCESSED",
817,826.5,"OPERATION","Descripción 817","PENDING",
818,827.5,"INTERNAL","Descripción 818","PROCESSED",
819,828.5,"PEOPLE","Descripción 819","PENDING",
820,829.5,"INTERNAL","Descripción 820","PROCESSED",
821,830.5,"PEOPLE","Descripción 821","PENDING",
822,831.5,"OPERATION","Descripción 822","PROCESSED",
823,832.5,"INTERNAL","Descripción 823","PENDING",
824,833.5,"PEOPLE","Descripción 824","PROCESSED",
825,834.5,"OPERATION","Descripción 825","PENDING",
826,835.5,"INTERNAL","Descripción 826","PROCESSED",
827,836.5,"PEOPLE","Descripción 827","PENDING",
828,837.5,"INTERNAL","Descripción 828","PROCESSED",
829,838.5,"PEOPLE","Descripción 829","PENDING",
830,839.5,"OPERATION","Descripción 830","PROCESSED",
831,840.5,"INTERNAL","Descripción 831","PENDING",
832,841.5,"PEOPLE","Descripción 832","PROCESSED",
833,842.5,"OPERATION","Descripción 833","PENDING",
834,843.5,"INTERNAL","Descripción 834","PROCESSED",
835,844.5,"PEOPLE","Descripción 835","PENDING",
836,845.5,"INTERNAL","Descripción 836","PROCESSED",
837,846.5,"PEOPLE","Descripción 837","PENDING",
838,847.5,"OPERATION","Descripción 838","PROCESSED",
839,848.5,"INTERNAL","Descripción 839","PENDING",
840,849.5,"PEOPLE","Descripción 840","PROCESSED",
841,850.5,"OPERATION","Descripción 841","PENDING",
842,851.5,"INTERNAL","Descripción 842","PROCESSED",
843,852.5,"PEOPLE","Descripción 843","PENDING",
844,853.5,"INTERNAL","Descripción 844","PROCESSED",
845,854.5,"PEOPLE","Descripción 845","PENDING",
846,855.5,"OPERATION","Descripción 846","PROCESSED",
847,856.5,"INTERNAL","Descripción 847","PENDING",
848,857.5,"PEOPLE","Descripción 848","PROCESSED",
849,858.5,"OPERATION","Descripción 849","PENDING",
850,859.5,"INTERNAL","Descripción 850","PROCESSED",
851,860.5,"PEOPLE","Descripción 851","PENDING",
852,861.5,"INTERNAL","Descripción 852","PROCESSED",
853,862.5,"PEOPLE","Descripción 853","PENDING",
854,863.5,"OPERATION","Descripción 854","PROCESSED",
855,864.5,"INTERNAL","Descripción 855","PENDING",
856,865.5,"PEOPLE","Descripción 856","PROCESSED",
857,866.5,"OPERATION","Descripción 857","PENDING",
858,867.5,"INTERNAL","Descripción 858","PROCESSED",
859,868.5,"PEOPLE","Descripción 859","PENDING",
860,869.5,"INTERNAL","Descripción 860","PROCESSED",
861,870.5,"PEOPLE","Descripción 861","PENDING",
862,871.5,"OPERATION","Descripción 862","PROCESSED",
863,872.5,"INTERNAL","Descripción 863","PENDING",
864,873.5,"PEOPLE","Descripción 864","PROCESSED",
865,874.5,"OPERATION","Descripción 865","PENDING",
866,875.5,"INTERNAL","Descripción 866","PROCESSED",
867,876.5,"PEOPLE","Descripción 867","PENDING",
868,877.5,"INTERNAL","Descripción 868","PROCESSED",
869,878.5,"PEOPLE","Descripción 869","PENDING",
870,879.5,"OPERATION","Descripción 870","PROCESSED",
871,880.5,"INTERNAL","Descripción 871","PENDING",
872,881.5,"PEOPLE","Descripción 872","PROCESSED",
873,882.5,"OPERATION","Descripción 873","PENDING",
874,883.5,"INTERNAL","Descripción 874","PROCESSED",
875,884.5,"PEOPLE","Descripción 875","PENDING",
876,885.5,"INTERNAL","Descripción 876","PROCESSED",
877,886.5,"PEOPLE","Descripción 877","PENDING",
878,887.5,"OPERATION","Descripción 878","PROCESSED",
879,888.5,"INTERNAL","Descripción 879","PENDING",
880,889.5,"PEOPLE","Descripción 880","PROCESSED",
881,890.5,"OPERATION","Descripción 881","PENDING",
882,891.5,"INTERNAL","Descripción 882","PROCESSED",
883,892.5,"PEOPLE","Descripción 883","PENDING",
884,893.5,"INTERNAL","Descripción 884","PROCESSED",
885,894.5,"PEOPLE","Descripción 885","PENDING",
886,895.5,"OPERATION","Descripción 886","PROCESSED",
887,896.5,"INTERNAL","Descripción 887","PENDING",
888,897.5,"PEOPLE","Descripción 888","PROCESSED",
889,898.5,"OPERATION","Descripción 889","PENDING",
890,899.5,"INTERNAL","Descripción 890","PROCESSED",
891,900.5,"PEOPLE","Descripción 891","PENDING",
892,901.5,"INTERNAL","Descripción 892","PROCESSED",
893,902.5,"PEOPLE","Descripción 893","PENDING",
894,903.5,"OPERATION","Descripción 894","PROCESSED",
895,904.5,"INTERNAL","Descripción 895","PENDING",
896,905.5,"PEOPLE","Descripción 896","PROCESSED",
897,906.5,"OPERATION","Descripción 897","PENDING",
898,907.5,"INTERNAL","Descripción 898","PROCESSED",
899,908.5,"PEOPLE","Descripción 899","PENDING",
900,909.5,"INTERNAL","Descripción 900","PROCESSED",
901,910.5,"PEOPLE","Descripción 901","PENDING",
902,911.5,"OPERATION","Descripción 902","PROCESSED",
903,912.5,"INTERNAL","Descripción 903","PENDING",
904,913.5,"PEOPLE","Descripción 904","PROCESSED",
905,914.5,"OPERATION","Descripción 905","PENDING",
906,915.5,"INTERNAL","Descripción 906","PROCESSED",
907,916.5,"PEOPLE","Descripción 907","PENDING",
908,917.5,"INTERNAL","Descripción 908","PROCESSED",
909,918.5,"PEOPLE","Descripción 909","PENDING",
910,919.5,"OPERATION","Descripción 910","PROCESSED",
911,920.5,"INTERNAL","Descripción 911","PENDING",
912,921.5,"PEOPLE","Descripción 912","PROCESSED",
913,922.5,"OPERATION","Descripción 913","PENDING",
914,923.5,"INTERNAL","Descripción 914","PROCESSED",
915,924.5,"PEOPLE","Descripción 915","PENDING",
916,925.5,"INTERNAL","Descripción 916","PROCESSED",
917,926.5,"PEOPLE","Descripción 917","PENDING",
918,927.5,"OPERATION","Descripción 918","PROCESSED",
919,928.5,"INTERNAL","Descripción 919","PENDING",
920,929.5,"PEOPLE","Descripción 920","PROCESSED",
921,930.5,"OPERATION","Descripción 921","PENDING",
922,931.5,"INTERNAL","Descripción 922","PROCESSED",
923,932.5,"PEOPLE","Descripción 923","PENDING",
924,933.5,"INTERNAL","Descripción 924","PROCESSED",
925,934.5,"PEOPLE","Descripción 925","PENDING",
926,935.5,"OPERATION","Descripción 926","PROCESSED",
927,936.5,"INTERNAL","Descripción 927","PENDING",
928,937.5,"PEOPLE","Descripción 928","PROCESSED",
929,938.5,"OPERATION","Descripción 929","PENDING",
930,939.5,"INTERNAL","Descripción 930","PROCESSED",
931,940.5,"PEOPLE","Descripción 931","PENDING",
932,941.5,"INTERNAL","Descripción 932","PROCESSED",
933,942.5,"PEOPLE","Descripción 933","PENDING",
934,943.5,"OPERATION","Descripción 934","PROCESSED",
935,944.5,"INTERNAL","Descripción 935","PENDING",
936,945.5,"PEOPLE","Descripción 936","PROCESSED",
937,946.5,"OPERATION","Descripción 937","PENDING",
938,947.5,"INTERNAL","Descripción 938","PROCESSED",
939,948.5,"PEOPLE","Descripción 939","PENDING",
940,949.5,"INTERNAL","Descripción 940","PROCESSED",
941,950.5,"PEOPLE","Descripción 941","PENDING",
942,951.5,"OPERATION","Descripción 942","PROCESSED",
943,952.5,"INTERNAL","Descripción 943","PENDING",
944,953.5,"PEOPLE","Descripción 944","PROCESSED",
945,954.5,"OPERATION","Descripción 945","PENDING",
946,955.5,"INTERNAL","Descripción 946","PROCESSED",
947,956.5,"PEOPLE","Descripción 947","PENDING",
948,957.5,"INTERNAL","Descripción 948","PROCESSED",
949,958.5,"PEOPLE","Descripción 949","PENDING",
950,959.5,"OPERATION","Descripción 950","PROCESSED",
951,960.5,"INTERNAL","Descripción 951","PENDING",
952,961.5,"PEOPLE","Descripción 952","PROCESSED",
953,962.5,"OPERATION","Descripción 953","PENDING",
954,963.5,"INTERNAL","Descripción 954","PROCESSED",
955,964.5,"PEOPLE","Descripción 955","PENDING",
956,965.5,"INTERNAL","Descripción 956","PROCESSED",
957,966.5,"PEOPLE","Descripción 957","PENDING",
958,967.5,"OPERATION","Descripción 958","PROCESSED",
959,968.5,"INTERNAL","Descripción 959","PENDING",
960,969.5,"PEOPLE","Descripción 960","PROCESSED",
961,970.5,"OPERATION","Descripción 961","PENDING",
962,971.5,"INTERNAL","Descripción 962","PROCESSED",
963,972.5,"PEOPLE","Descripción 963","PENDING",
964,973.5,"INTERNAL","Descripción 964","PROCESSED",
965,974.5,"PEOPLE","Descripción 965","PENDING",
966,975.5,"OPERATION","Descripción 966","PROCESSED",
967,976.5,"INTERNAL","Descripción 967","PENDING",
968,977.5,"PEOPLE","Descripción 968","PROCESSED",
969,978.5,"OPERATION","Descripción 969","PENDING",
970,979.5,"INTERNAL","Descripción 970","PROCESSED",
971,980.5,"PEOPLE","Descripción 971","PENDING",
972,981.5,"INTERNAL","Descripción 972","PROCESSED",
973,982.5,"PEOPLE","Descripción 973","PENDING",
974,983.5,"OPERATION","Descripción 974","PROCESSED",
975,984.5,"INTERNAL","Descripción 975","PENDING",
976,985.5,"PEOPLE","Descripción 976","PROCESSED",
977,986.5,"OPERATION","Descripción 977","PENDING",
978,987.5,"INTERNAL","Descripción 978","PROCESSED",
979,988.5,"PEOPLE","Descripción 979","PENDING",
980,989.5,"INTERNAL","Descripción 980","PROCESSED",
981,990.5,"PEOPLE","Descripción 981","PENDING",
982,991.5,"OPERATION","Descripción 982","PROCESSED",
983,992.5,"INTERNAL","Descripción 983","PENDING",
984,993.5,"PEOPLE","Descripción 984","PROCESSED",
985,994.5,"OPERATION","Descripción 985","PENDING",
986,995.5,"INTERNAL","Descripción 986","PROCESSED",
987,996.5,"PEOPLE","Descripción 987","PENDING",
988,997.5,"INTERNAL","Descripción 988","PROCESSED",
989,998.5,"PEOPLE","Descripción 989","PENDING",
990,999.5,"OPERATION","Descripción 990","PROCESSED",
991,1000.5,"INTERNAL","Descripción 991","PENDING",
992,1001.5,"PEOPLE","Descripción 992","PROCESSED",
993,1002.5,"OPERATION","Descripción 993","PENDING",
994,1003.5,"INTERNAL","Descripción 994","PROCESSED",
995,1004.5,"PEOPLE","Descripción 995","PENDING",
996,1005.5,"INTERNAL","Descripción 996","PROCESSED",
997,1006.5,"PEOPLE","Descripción 997","PENDING",
998,1007.5,"OPERATION","Descripción 998","PROCESSED",
999,1008.5,"INTERNAL","Descripción 999","PENDING",
1000,1009.5,"PEOPLE","Descripción 1000","PROCESSED",
1001,1010.5,"OPERATION","Descripción 1001","PENDING",
